R,D
0.041666666666666664,0.8159532430902513
0.08333333333333333,0.7898724190266713
0.125,0.7639564791060155
0.16666666666666666,0.7354309394347774
0.20833333333333331,0.7035366463181819
0.25,0.6682502433987101
0.29166666666666663,0.6299010841614398
0.3333333333333333,0.5890097136570775
0.375,0.5461994862763702
0.41666666666666663,0.5021379812706411
0.4583333333333333,0.4574933996277706
0.5,0.41290047316456624
0.5416666666666666,0.36893383196230706
0.5833333333333333,0.32608805486335657
0.625,0.28476404961215185
0.6666666666666666,0.24526146808637958
0.7083333333333333,0.20777677191009086
0.75,0.17240642648520485
0.7916666666666666,0.13915456824007805
0.8333333333333333,0.1079443854861871
0.875,0.07863238684487645
0.9166666666666666,0.05102470085615584
0.9583333333333333,0.024894544627839268
1.0,0.0
