R,D
0.041666666666666664,0.754385430079034
0.08333333333333333,0.7445874161669039
0.125,0.7296164224025702
0.16666666666666666,0.7092692054101732
0.20833333333333331,0.683799853662922
0.25,0.6536849393630006
0.29166666666666663,0.6195385426830852
0.3333333333333333,0.5820621824924562
0.375,0.5420055345985244
0.41666666666666663,0.5001318814753044
0.4583333333333333,0.4571870578531847
0.5,0.4138721194245194
0.5416666666666666,0.3708203515619707
0.5833333333333333,0.3285792177278117
0.625,0.2875976612206419
0.6666666666666666,0.24821892295788486
0.7083333333333333,0.2106787764447786
0.75,0.17510884068130728
0.7916666666666666,0.1415444311083311
0.8333333333333333,0.10993625704893895
0.875,0.0801651734863942
0.9166666666666666,0.052059141982532614
0.9583333333333333,0.02541154292055064
1.0,0.0
